benchmark,model,item_id,cluster_id,score
drop,Llama-2-70b-hf,fd05a1e4-842c-4ae8-8b93-46eb3620837f,p:7cc2511a,0
drop,Llama-2-70b-hf,8f6ee02d-9803-4be7-a5e8-a58743de3392,p:7b6cdd7c,0.22
drop,Llama-2-70b-hf,c339f1b8-88ab-4724-acb4-bcd62e0b12ed,p:2c07c58c,0
drop,Llama-2-70b-hf,201ccbb3-2809-423c-a1db-17ffbf4dc4f7,p:ffd83027,0.67
drop,Llama-2-70b-hf,7c451efb-71e5-47f6-8fa2-0495a4d342c5,p:73e8764b,0
drop,Llama-2-70b-hf,cb4f8363-5782-4e2c-aaa2-727d3e7748b1,p:d15c003f,0
drop,Llama-2-70b-hf,0f47ae00-f859-4b05-94c8-6f58f78e2190,p:bcce1272,0
drop,Llama-2-70b-hf,cdb9d691-8b40-4a3b-ab00-14b9b792d9ae,p:a18b1eac,0
drop,Llama-2-70b-hf,fe7c7e41-7a13-4dba-83f3-177f0ceabc82,p:c01b27e8,0
drop,Llama-2-70b-hf,1aa99f9e-5291-4e8e-9be5-8016fee01767,p:d47015ae,0
drop,Llama-2-70b-hf,45f95b62-3ce8-473d-ac2e-2f54d875df34,p:ca95b7d1,0
drop,Llama-2-70b-hf,bd5e0152-e53f-48a2-9ad6-cf297b4cdff5,p:fd2522df,0.24
drop,Llama-2-70b-hf,51cebb97-0cf1-4731-be77-17397024b7fb,p:fb499aa6,0.18
drop,Llama-2-70b-hf,5cd8a48e-53f2-44a6-a3ab-2b7a26d7dd7f,p:81168fee,0
drop,Llama-2-70b-hf,5b7daf13-7edd-45cb-8d62-5b39f4316607,p:7b6cdd7c,0
drop,Llama-2-70b-hf,28807ae8-606c-4c5a-b2e5-82368fa2d97b,p:1cd6067e,0
drop,Llama-2-70b-hf,7016d115-81df-4e47-b901-ba0d7af1b807,p:288b8490,0
drop,Llama-2-70b-hf,b7b1ec7c-4bb3-4691-ab70-edf3eaab68a7,p:760fb45c,0
drop,Llama-2-70b-hf,fea934fd-f8ad-4d33-b1bc-7744f8ef10fb,p:315a56a1,0
drop,Llama-2-70b-hf,390940e2-901d-49f1-ab2a-d3a784fdf277,p:7b4a1146,0
drop,Llama-2-70b-hf,a5c5a2d8-6d25-482e-b0a1-0c1746327b25,p:8b1c68da,0.12
drop,Llama-2-70b-hf,9d3397d7-3231-4d4e-9b3e-93651a633340,p:c6b695d9,0
drop,Llama-2-70b-hf,f1a2c808-75e2-4a28-92e3-5499c4330774,p:b5182739,0
drop,Llama-2-70b-hf,44463002-b13e-4721-b04d-0b8baa65fee4,p:16710a5b,0.1
drop,Llama-2-70b-hf,073b19ff-3d46-495c-9246-840346f7fb24,p:cca96e6b,0.15
drop,Llama-2-70b-hf,5bc4a665-d5e9-47e1-a806-c7d2ded59112,p:90c05140,0.21
drop,Llama-2-70b-hf,841fe0c7-71b5-4798-a558-8cd0d5700f75,p:c07ce9f4,0
drop,Llama-2-70b-hf,320989dc-498a-4df6-98f9-16362c01afc9,p:b3679697,0.35
drop,Llama-2-70b-hf,0495403e-60a0-40d7-835b-a1fed1270fd5,p:04444aa1,0
drop,Llama-2-70b-hf,f404de6c-634f-45b9-9798-0be1fa295390,p:fb499aa6,0
drop,Llama-2-70b-hf,b4a80222-450c-4630-8425-8c9e67e7eb05,p:ec8867ef,0
drop,Llama-2-70b-hf,57b67f40-2e96-4028-afee-824865565ce1,p:dac2f46f,0.13
