benchmark,model,item_id,cluster_id,score
mmlu,vicuna-13b-v1.5,abstract_algebra#0000,abstract_algebra,1
mmlu,vicuna-13b-v1.5,abstract_algebra#0001,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0002,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0003,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0004,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0005,abstract_algebra,1
mmlu,vicuna-13b-v1.5,abstract_algebra#0006,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0007,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0008,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0009,abstract_algebra,1
mmlu,vicuna-13b-v1.5,abstract_algebra#0010,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0011,abstract_algebra,1
mmlu,vicuna-13b-v1.5,abstract_algebra#0012,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0013,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0014,abstract_algebra,1
mmlu,vicuna-13b-v1.5,abstract_algebra#0015,abstract_algebra,1
mmlu,vicuna-13b-v1.5,abstract_algebra#0016,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0017,abstract_algebra,1
mmlu,vicuna-13b-v1.5,abstract_algebra#0018,abstract_algebra,1
mmlu,vicuna-13b-v1.5,abstract_algebra#0019,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0020,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0021,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0022,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0023,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0024,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0025,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0026,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0027,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0028,abstract_algebra,1
mmlu,vicuna-13b-v1.5,abstract_algebra#0029,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0030,abstract_algebra,1
mmlu,vicuna-13b-v1.5,abstract_algebra#0031,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0032,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0033,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0034,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0035,abstract_algebra,1
mmlu,vicuna-13b-v1.5,abstract_algebra#0036,abstract_algebra,1
mmlu,vicuna-13b-v1.5,abstract_algebra#0037,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0038,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0039,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0040,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0041,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0042,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0043,abstract_algebra,1
mmlu,vicuna-13b-v1.5,abstract_algebra#0044,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0045,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0046,abstract_algebra,1
mmlu,vicuna-13b-v1.5,abstract_algebra#0047,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0048,abstract_algebra,1
mmlu,vicuna-13b-v1.5,abstract_algebra#0049,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0050,abstract_algebra,1
mmlu,vicuna-13b-v1.5,abstract_algebra#0051,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0052,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0053,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0054,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0055,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0056,abstract_algebra,1
mmlu,vicuna-13b-v1.5,abstract_algebra#0057,abstract_algebra,1
mmlu,vicuna-13b-v1.5,abstract_algebra#0058,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0059,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0060,abstract_algebra,1
mmlu,vicuna-13b-v1.5,abstract_algebra#0061,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0062,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0063,abstract_algebra,1
mmlu,vicuna-13b-v1.5,abstract_algebra#0064,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0065,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0066,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0067,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0068,abstract_algebra,1
mmlu,vicuna-13b-v1.5,abstract_algebra#0069,abstract_algebra,1
mmlu,vicuna-13b-v1.5,abstract_algebra#0070,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0071,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0072,abstract_algebra,1
mmlu,vicuna-13b-v1.5,abstract_algebra#0073,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0074,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0075,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0076,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0077,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0078,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0079,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0080,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0081,abstract_algebra,1
mmlu,vicuna-13b-v1.5,abstract_algebra#0082,abstract_algebra,1
mmlu,vicuna-13b-v1.5,abstract_algebra#0083,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0084,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0085,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0086,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0087,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0088,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0089,abstract_algebra,1
mmlu,vicuna-13b-v1.5,abstract_algebra#0090,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0091,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0092,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0093,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0094,abstract_algebra,1
mmlu,vicuna-13b-v1.5,abstract_algebra#0095,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0096,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0097,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0098,abstract_algebra,0
mmlu,vicuna-13b-v1.5,abstract_algebra#0099,abstract_algebra,1
mmlu,vicuna-13b-v1.5,anatomy#0000,anatomy,0
mmlu,vicuna-13b-v1.5,anatomy#0001,anatomy,1
mmlu,vicuna-13b-v1.5,anatomy#0002,anatomy,1
mmlu,vicuna-13b-v1.5,anatomy#0003,anatomy,1
mmlu,vicuna-13b-v1.5,anatomy#0004,anatomy,1
mmlu,vicuna-13b-v1.5,anatomy#0005,anatomy,0
mmlu,vicuna-13b-v1.5,anatomy#0006,anatomy,0
mmlu,vicuna-13b-v1.5,anatomy#0007,anatomy,0
mmlu,vicuna-13b-v1.5,anatomy#0008,anatomy,0
mmlu,vicuna-13b-v1.5,anatomy#0009,anatomy,1
mmlu,vicuna-13b-v1.5,anatomy#0010,anatomy,0
mmlu,vicuna-13b-v1.5,anatomy#0011,anatomy,0
mmlu,vicuna-13b-v1.5,anatomy#0012,anatomy,1
mmlu,vicuna-13b-v1.5,anatomy#0013,anatomy,0
mmlu,vicuna-13b-v1.5,anatomy#0014,anatomy,1
mmlu,vicuna-13b-v1.5,anatomy#0015,anatomy,1
mmlu,vicuna-13b-v1.5,anatomy#0016,anatomy,0
mmlu,vicuna-13b-v1.5,anatomy#0017,anatomy,1
mmlu,vicuna-13b-v1.5,anatomy#0018,anatomy,0
mmlu,vicuna-13b-v1.5,anatomy#0019,anatomy,1
mmlu,vicuna-13b-v1.5,anatomy#0020,anatomy,1
mmlu,vicuna-13b-v1.5,anatomy#0021,anatomy,0
mmlu,vicuna-13b-v1.5,anatomy#0022,anatomy,1
mmlu,vicuna-13b-v1.5,anatomy#0023,anatomy,0
mmlu,vicuna-13b-v1.5,anatomy#0024,anatomy,0
mmlu,vicuna-13b-v1.5,anatomy#0025,anatomy,1
mmlu,vicuna-13b-v1.5,anatomy#0026,anatomy,1
mmlu,vicuna-13b-v1.5,anatomy#0027,anatomy,1
mmlu,vicuna-13b-v1.5,anatomy#0028,anatomy,1
mmlu,vicuna-13b-v1.5,anatomy#0029,anatomy,0
mmlu,vicuna-13b-v1.5,anatomy#0030,anatomy,0
mmlu,vicuna-13b-v1.5,anatomy#0031,anatomy,1
mmlu,vicuna-13b-v1.5,anatomy#0032,anatomy,0
mmlu,vicuna-13b-v1.5,anatomy#0033,anatomy,0
mmlu,vicuna-13b-v1.5,anatomy#0034,anatomy,0
mmlu,vicuna-13b-v1.5,anatomy#0035,anatomy,0
mmlu,vicuna-13b-v1.5,anatomy#0036,anatomy,1
mmlu,vicuna-13b-v1.5,anatomy#0037,anatomy,1
